,company_name,company_year_founded,company_employees,company_hq,company_annual_revenue,industry,company_total_visits,company_bounce_rate,company_pages_per_visit,company_avg_visit_duration_in_seconds,company_3_month_ago,company_2_month_ago,company_1_month_ago,company_demographics_gender_female,company_demographics_gender_male,company_age_distribution_18_24,company_age_distribution_25_34,company_age_distribution_35_44
953,Messenger,2015,200,UnitedStatesFloridaMiami,25.0,ComputersElectronicsandTechnology,362.2,24.00,7.18,928.0,373.0,347.7,362.2,45.65,54.35,29.87,29.51,16.24
954,MaxInternational,2007,5000,UnitedStatesUtahMidvale,500.0,ComputersElectronicsandTechnology,343.5,32.54,6.42,346.0,36.5,6.1,343.5,46.45,53.55,31.78,29.59,16.06
957,Seznamczas,1996,5000,CzechRepublicPrague,500.0,ComputersElectronicsandTechnology,289.1,30.45,4.92,540.0,295.6,275.9,289.1,43.16,56.84,21.80,28.84,20.78
958,Telegram,2011,500,UnitedStatesDelawareWilmington,50.0,ComputersElectronicsandTechnology,288.6,24.45,7.43,731.0,277.7,267.5,288.6,38.18,61.82,28.91,35.18,17.18
964,RevcontentLLC,2013,200,UnitedStatesFloridaSarasota,200.0,ComputersElectronicsandTechnology,33.9,87.39,1.21,48.0,30.5,38.6,33.9,32.93,67.07,9.87,14.71,12.82
966,InboxDollars,2000,50,UnitedStatesMinnesotaMendotaHeights,25.0,ComputersElectronicsandTechnology,11.8,32.29,8.27,339.0,10.7,10.4,11.8,51.28,48.72,22.36,26.82,18.89
967,AdmitadGmbH,2009,1000,GermanyHeilbronn,200.0,ComputersElectronicsandTechnology,6.9,69.55,2.14,91.0,6.0,5.7,6.9,38.68,61.32,22.95,36.94,18.65
968,MyUnidaysLtd,2011,200,UnitedKingdomNottingham,50.0,ComputersElectronicsandTechnology,6.2,36.46,5.06,157.0,6.3,5.8,6.2,51.89,48.11,30.97,32.48,16.98
970,Aads,2011,50,UnitedStatesMississippiAnguilla,10.0,ComputersElectronicsandTechnology,4.0,71.00,2.26,68.0,3.9,4.0,4.0,29.88,70.12,30.04,33.11,15.74
971,NeoBux,2008,50,PortugalPorto,15.0,ComputersElectronicsandTechnology,3.6,21.23,21.19,630.0,3.4,3.5,3.6,36.26,63.74,24.43,34.18,18.17
973,Adsterra,2013,200,CyprusNicosia,10.0,ComputersElectronicsandTechnology,3.0,44.07,3.78,309.0,3.2,3.1,3.0,32.87,67.13,28.47,37.28,16.84
976,ASUS,1989,10001,TaiwanBeitouDistrict,1.0,ComputersElectronicsandTechnology,48.5,46.52,4.26,230.0,51.5,46.4,48.5,17.52,82.48,25.46,34.88,20.18
977,Lenovo,1984,10001,China,1.0,ComputersElectronicsandTechnology,41.0,44.91,4.49,252.0,45.9,38.3,41.0,24.14,75.86,21.50,33.28,21.42
978,DellInc,1984,10001,UnitedStatesTexasRoundRock,1.0,ComputersElectronicsandTechnology,40.5,48.15,5.07,278.0,46.6,40.4,40.5,22.86,77.14,20.66,32.75,21.87
979,NVIDIACorporation,1993,10001,UnitedStatesCaliforniaSantaClara,1.0,ComputersElectronicsandTechnology,29.3,39.41,4.01,234.0,36.4,29.7,29.3,16.40,83.60,32.32,33.66,17.04
981,IBM,1911,10001,UnitedStatesNewYorkArmonk,1.0,ComputersElectronicsandTechnology,22.4,51.20,5.5,335.0,25.3,21.3,22.4,28.37,71.63,24.32,36.70,20.44
982,IntelCorporation,1968,10001,UnitedStatesCaliforniaSantaClara,1.0,ComputersElectronicsandTechnology,18.6,51.11,3.83,274.0,21.6,18.8,18.6,18.56,81.44,25.64,34.18,19.57
983,TomsHardware,1996,500,UnitedStatesNewYorkNewYorkCity,10.0,ComputersElectronicsandTechnology,14.9,69.48,1.66,100.0,15.0,14.0,14.9,14.81,85.19,26.32,33.66,19.30
984,AMD,1969,10001,UnitedStatesCaliforniaSantaClara,1.0,ComputersElectronicsandTechnology,12.3,46.36,3.17,231.0,13.5,12.4,12.3,14.91,85.09,30.72,34.27,18.00
985,MSI,2006,10001,TaiwanTaipeiCity,1.0,ComputersElectronicsandTechnology,9.3,33.95,0.03,1.0,10.0,9.3,9.3,15.16,84.84,29.83,34.40,18.08
986,3DNews,1997,50,RussiaMoscow,15.0,ComputersElectronicsandTechnology,10.3,64.07,1.94,131.0,11.6,10.0,10.3,21.68,78.32,20.91,41.14,17.41
988,Geniuslink,2009,50,UnitedStatesWashingtonSeattle,2.0,ComputersElectronicsandTechnology,9.5,66.63,1.79,66.0,9.3,8.5,9.5,22.72,77.28,23.81,30.93,19.16
990,ArduinoSrl,2004,500,ItalyTorino,75.0,ComputersElectronicsandTechnology,7.1,37.66,5.47,351.0,7.6,7.0,7.1,22.71,77.29,26.88,32.06,19.48
991,PCPartPicker,2011,50,UnitedStatesTexasAustin,5.0,ComputersElectronicsandTechnology,6.9,33.41,15.48,510.0,7.4,7.0,6.9,14.96,85.04,30.39,32.41,17.34
992,Acer,1976,10000,TaiwanNewTaipeiCity,1.0,ComputersElectronicsandTechnology,6.5,51.81,3.53,216.0,6.9,6.6,6.5,23.86,76.14,25.45,33.62,19.40
993,MicroCenter,1979,5000,UnitedStatesOhioHilliard,1.0,ComputersElectronicsandTechnology,6.1,38.89,6.35,277.0,7.1,6.2,6.1,14.88,85.12,22.56,27.13,19.22
994,GIGABYTE,1986,5000,TaiwanXindianDist,1.0,ComputersElectronicsandTechnology,5.8,29.73,4.76,223.0,6.8,6.0,5.8,15.69,84.31,27.44,34.89,19.16
995,Logitech,1981,10000,UnitedStatesCaliforniaNewark,1.0,ComputersElectronicsandTechnology,5.7,42.48,3.62,162.0,6.7,5.8,5.7,23.02,76.98,23.51,34.59,20.15
996,Adrenaline,2001,50,UnitedStatesFlorianopolis,5.0,ComputersElectronicsandTechnology,5.1,72.72,2.46,144.0,5.1,5.4,5.1,17.54,82.46,33.02,32.20,17.68
997,TechSpot,1998,50,UnitedStatesFloridaMiami,10.0,ComputersElectronicsandTechnology,5.0,50.05,2.3,101.0,5.3,4.9,5.0,19.20,80.80,27.86,33.27,18.33
1002,Corsair,1994,1000,UnitedStatesCaliforniaFremont,1.0,ComputersElectronicsandTechnology,3.6,43.51,3.99,214.0,4.0,3.5,3.6,15.45,84.55,28.89,32.80,18.53
1004,SweClockerscom,1999,10,SwedenStockholm,1.0,ComputersElectronicsandTechnology,3.3,41.16,3.49,276.0,3.1,3.1,3.3,23.66,76.34,13.10,26.92,21.12
1009,Kingston,1987,5000,UnitedStatesCaliforniaFountainValley,1.0,ComputersElectronicsandTechnology,3.0,64.13,2.37,91.0,3.0,3.0,3.0,19.87,80.13,23.34,35.30,20.65
1013,ComputerHope,1998,50,UnitedStatesUtahRiverton,15.0,ComputersElectronicsandTechnology,2.6,73.37,1.75,79.0,3.2,2.7,2.6,25.91,74.09,26.72,32.38,18.23
1016,AdblockPlus,2006,50,GermanyCologne,25.0,ComputersElectronicsandTechnology,36.4,74.66,2.13,19.0,46.9,34.0,36.4,34.51,65.49,24.67,30.29,18.54
1017,360CorporateSafety,2017,5000,ChinaBeijing,1.0,ComputersElectronicsandTechnology,30.6,54.29,2.48,192.0,23.4,36.4,30.6,26.85,73.15,28.67,40.09,19.27
1018,McAfeeLLC,1987,10000,UnitedStatesCaliforniaSanJose,1.0,ComputersElectronicsandTechnology,25.2,47.07,3.42,128.0,24.1,24.9,25.2,38.50,61.50,22.32,26.51,18.15
1019,CloudflareInc,2009,5000,UnitedStatesCaliforniaSanFrancisco,1.0,ComputersElectronicsandTechnology,23.5,44.18,6.68,284.0,26.3,24.1,23.5,27.55,72.45,24.96,36.17,18.69
1021,VirusTotal,2004,50,IrelandDublin,200.0,ComputersElectronicsandTechnology,14.7,22.64,6.31,250.0,15.8,14.6,14.7,20.36,79.64,32.24,33.21,16.94
1023,Avast,1988,5000,CzechRepublicPrague,1.0,ComputersElectronicsandTechnology,13.2,45.51,3.21,127.0,13.9,13.4,13.2,31.83,68.17,24.50,28.88,18.34
1024,KasperskyLab,1997,5000,RussiaMoscow,1.0,ComputersElectronicsandTechnology,13.1,44.73,4.58,224.0,15.1,13.7,13.1,29.18,70.82,22.03,32.93,19.69
1027,AVG,1991,5000,CzechRepublicBrno,500.0,ComputersElectronicsandTechnology,7.5,45.87,3.12,143.0,7.9,7.2,7.5,29.85,70.15,21.28,26.83,18.12
1028,OpenDNSInc,2005,500,UnitedStatesCaliforniaSanFrancisco,500.0,ComputersElectronicsandTechnology,6.7,27.76,3.94,148.0,6.6,6.0,6.7,34.89,65.11,20.71,32.14,21.23
1029,SophosLtd,1985,5000,UnitedKingdomcommonstategb84025Abingdon,1.0,ComputersElectronicsandTechnology,6.5,65.31,4.09,258.0,6.4,5.3,6.5,24.62,75.38,19.43,32.93,23.26
1030,ESETspolsro,1987,5000,SlovakiaRepublic,500.0,ComputersElectronicsandTechnology,6.4,44.01,5.03,213.0,6.8,6.6,6.4,29.77,70.23,20.60,32.20,21.21
1031,Bitdefender,2001,5000,RomaniaBucharest,500.0,ComputersElectronicsandTechnology,5.9,38.97,6.48,386.0,6.8,6.2,5.9,26.04,73.96,19.28,28.48,20.63
1032,TotalAV,2016,50,UnitedStatesCaliforniaVenice,10.0,ComputersElectronicsandTechnology,5.7,52.67,2.53,109.0,5.3,5.4,5.7,28.50,71.50,18.25,23.12,17.04
1033,ProofpointInc,2002,5000,UnitedStatesCaliforniaSunnyvale,1.0,ComputersElectronicsandTechnology,5.4,70.56,2.03,87.0,5.5,4.8,5.4,36.95,63.05,16.10,31.27,24.76
1034,GeekFlare,2015,50,UnitedKingdomLondon,1.0,ComputersElectronicsandTechnology,5.4,77.04,1.6,58.0,4.7,5.1,5.4,24.96,75.04,25.00,35.37,19.95
1037,FortinetInc,2000,10001,UnitedStatesCaliforniaSunnyvale,1.0,ComputersElectronicsandTechnology,4.3,43.98,6.02,427.0,4.5,3.8,4.3,25.14,74.86,18.75,34.24,23.69
1038,Avira,1986,500,RomaniaBucharest,200.0,ComputersElectronicsandTechnology,3.9,48.25,3.52,143.0,4.7,4.2,3.9,30.43,69.57,21.86,27.82,18.88
1040,TheRegister,1998,50,UnitedStatesSouthport,1.0,ComputersElectronicsandTechnology,3.9,65.26,1.84,105.0,4.1,3.8,3.9,24.06,75.94,18.37,32.61,21.69
1041,TheTorProject,2006,50,UnitedStatesWashingtonSeattle,15.0,ComputersElectronicsandTechnology,3.8,35.43,2.88,125.0,3.8,3.8,3.8,24.18,75.82,27.65,32.29,18.16
1043,PingIdentityCorporation,2002,5000,UnitedStatesColoradoDenver,500.0,ComputersElectronicsandTechnology,3.3,42.76,2.64,146.0,3.6,3.1,3.3,38.87,61.13,17.33,30.84,22.47
1045,TryHackMe,2018,5000,UnitedKingdomLondon,5.0,ComputersElectronicsandTechnology,3.1,38.96,5.24,390.0,3.3,2.6,3.1,28.03,71.97,27.78,32.71,18.81
1046,Symantec,1999,50,UnitedStatesCaliforniaSanJose,2.0,ComputersElectronicsandTechnology,2.9,60.38,2.58,84.0,3.0,2.6,2.9,41.75,58.25,19.06,29.13,20.80
1048,Raiffeisen,1899,5000,SwitzerlandZrich,1.0,ComputersElectronicsandTechnology,2.7,41.47,4.55,547.0,2.7,2.6,2.7,50.21,49.79,13.43,38.20,23.97
1049,PaloAltoNetworksInc,2005,10001,UnitedStatesCaliforniaSantaClara,1.0,ComputersElectronicsandTechnology,2.7,48.96,6.41,340.0,2.7,2.5,2.7,25.68,74.32,18.93,33.00,23.57
1085,BestBuyCoInc,1966,10001,UnitedStatesMinnesotaRichfield,1.0,ComputersElectronicsandTechnology,101.2,44.99,4.28,244.0,97.8,91.6,101.2,28.40,71.60,19.13,25.65,20.37
1086,Huawei,1987,10001,NetherlandsAmsterdam,1.0,ComputersElectronicsandTechnology,87.2,47.87,14.38,484.0,89.8,81.5,87.2,26.87,73.13,21.51,38.07,21.68
1087,CellphoneS,2013,200,Vietnam,10.0,ComputersElectronicsandTechnology,22.2,55.45,3.51,189.0,19.0,19.6,22.2,29.40,70.60,53.09,35.07,4.83
1088,DanawaCo,2000,500,KoreaRepublicofSeoul,200.0,ComputersElectronicsandTechnology,21.9,32.75,6.78,520.0,23.8,22.6,21.9,21.29,78.71,24.17,32.58,18.67
1089,BHPhotoVideoBH,1973,5000,UnitedStatesNewYorkNewYork,1.0,ComputersElectronicsandTechnology,18.3,53.02,4.1,209.0,18.3,16.0,18.3,23.06,76.94,18.63,29.71,21.03
1090,ShutterflyInc,1999,10000,UnitedStatesCaliforniaRedwoodCity,1.0,ComputersElectronicsandTechnology,18.0,49.09,6.93,251.0,20.3,15.8,18.0,66.78,33.22,16.90,26.38,19.76
1091,USCellular,1983,10000,UnitedStatesIllinoisChicago,1.0,ComputersElectronicsandTechnology,17.5,41.19,2.5,253.0,17.1,16.6,17.5,44.97,55.03,11.37,18.72,17.44
1092,Versus,2011,200,GermanyBerlin,25.0,ComputersElectronicsandTechnology,17.3,64.65,2.64,137.0,17.4,16.1,17.3,20.71,79.29,23.65,35.08,20.46
1094,MediaMarkt,1979,10001,GermanyIngolstadt,1.0,ComputersElectronicsandTechnology,16.9,46.21,4.29,233.0,19.6,17.1,16.9,23.94,76.06,22.94,26.41,19.52
1096,Currys,2011,10001,UnitedKingdomSheffield,1.0,ComputersElectronicsandTechnology,15.3,44.97,4.21,284.0,17.6,17.3,15.3,29.42,70.58,13.78,23.73,20.18
1097,BoostMobile,2002,5000,UnitedStatesCaliforniaIrvine,1.0,ComputersElectronicsandTechnology,15.2,47.49,4.48,231.0,17.6,16.5,15.2,35.35,64.65,18.39,24.09,21.17
1098,NeweggInc,2001,5000,UnitedStatesCaliforniaCityofIndustry,1.0,ComputersElectronicsandTechnology,14.6,45.51,4.81,255.0,17.0,14.6,14.6,15.63,84.37,23.87,29.73,20.52
1099,Kabum,2003,500,BrazilLimeira,500.0,ComputersElectronicsandTechnology,14.2,43.94,4.68,305.0,13.5,13.4,14.2,29.29,70.71,29.03,39.09,17.38
1100,LavaMobileServiceCenter,2009,5000,IndiaNoida,500.0,ComputersElectronicsandTechnology,13.9,10.72,1.91,18.0,1.4,2.2,13.9,27.58,72.42,36.75,36.06,12.66
1101,RTVEuroAGD,1990,5000,PolandWarsaw,1.0,ComputersElectronicsandTechnology,13.8,44.31,4.6,249.0,19.8,17.3,13.8,42.41,57.59,26.68,30.17,18.58
1102,Unity,2004,10000,UnitedStatesCaliforniaSanFrancisco,1.0,ComputersElectronicsandTechnology,13.7,40.43,7.68,414.0,14.8,13.3,13.7,18.76,81.24,30.09,34.49,17.21
1103,OPPO,2004,10001,ChinaShenzhen,1.0,ComputersElectronicsandTechnology,11.4,59.89,2.57,93.0,14.5,11.7,11.4,30.00,70.00,25.57,36.45,19.66
1106,Boulanger,1954,10000,FranceLesquin,1.0,ComputersElectronicsandTechnology,10.7,44.65,4.19,253.0,10.2,9.8,10.7,43.61,56.39,18.92,25.59,21.47
1108,Realme,2018,200,UnitedStatesKansasShawneeMission,25.0,ComputersElectronicsandTechnology,10.3,58.98,3.23,132.0,10.7,9.3,10.3,26.85,73.15,31.14,37.40,16.28
1111,DJI,2006,10001,ChinaShenzhen,1.0,ComputersElectronicsandTechnology,10.1,42.05,4.44,206.0,9.4,10.7,10.1,25.65,74.35,18.63,33.38,22.50
1115,WEBDEGmbH,1995,500,GermanyKarlsruhe,50.0,ComputersElectronicsandTechnology,118.4,20.27,7.84,425.0,129.0,116.3,118.4,33.28,66.72,17.79,23.61,18.13
1117,Outlook,2016,200,UnitedStatesTexasCypress,1.0,ComputersElectronicsandTechnology,101.2,57.32,1.73,81.0,99.7,93.0,101.2,43.72,56.28,18.97,29.30,21.04
1119,Gmail,1989,50,UnitedStatesSouthCarolinaGreer,5.0,ComputersElectronicsandTechnology,80.2,77.24,1.31,44.0,85.8,78.5,80.2,45.79,54.21,22.83,33.52,19.48
1120,EviteInc,1998,500,UnitedStatesCaliforniaLosAngeles,50.0,ComputersElectronicsandTechnology,41.0,42.90,3.08,159.0,31.8,32.5,41.0,60.45,39.55,16.57,25.91,20.09
1121,Mailchimp,2000,5000,UnitedStatesGeorgiaAtlanta,1.0,ComputersElectronicsandTechnology,20.9,34.89,8.54,553.0,22.8,19.6,20.9,48.12,51.88,19.62,35.13,21.79
1122,mailcom,1995,50,UnitedStatesPennsylvaniaChesterbrook,200.0,ComputersElectronicsandTechnology,16.0,22.91,6.91,433.0,15.4,14.8,16.0,31.13,68.87,19.41,29.92,20.14
1125,MimecastLtd,2003,5000,UnitedKingdomLondon,1.0,ComputersElectronicsandTechnology,12.9,45.47,3.17,223.0,12.9,11.2,12.9,43.91,56.09,14.35,30.96,23.41
1128,PosteoeK,2009,50,GermanyBerlin,5.0,ComputersElectronicsandTechnology,5.9,16.99,6.23,427.0,5.5,5.0,5.9,43.44,56.56,20.75,29.30,20.38
1131,FastMailPtyLtd,1999,50,AustraliaMelbourne,10.0,ComputersElectronicsandTechnology,4.6,21.51,11.23,695.0,4.3,4.0,4.6,34.00,66.00,17.89,28.44,20.21
1134,Hushmail,1999,50,CanadaVancouver,200.0,ComputersElectronicsandTechnology,2.9,25.71,6.21,499.0,3.5,2.8,2.9,53.21,46.79,16.15,25.82,19.53
1136,YOPmails,2004,50,FranceFrance,15.0,ComputersElectronicsandTechnology,2.5,29.70,8.26,282.0,3.1,2.6,2.5,30.36,69.64,26.89,35.21,18.48
1137,MediaFireLLC,2006,50,UnitedStatesTexasMagnolia,50.0,ComputersElectronicsandTechnology,206.6,44.34,3.56,248.0,213.1,212.8,206.6,22.59,77.41,37.72,31.87,14.67
1138,MegaLimited,2013,50,NewZealandAuckland,15.0,ComputersElectronicsandTechnology,158.4,44.68,4.56,311.0,160.4,157.9,158.4,22.57,77.43,35.02,32.66,15.66
1139,DropboxInc,2007,5000,UnitedStatesCaliforniaSanFrancisco,1.0,ComputersElectronicsandTechnology,149.8,38.96,6.69,316.0,160.9,142.3,149.8,41.76,58.24,21.50,32.86,20.64
1140,ImgurInc,2009,200,UnitedStatesCaliforniaSanFrancisco,50.0,ComputersElectronicsandTechnology,145.4,51.37,4.09,204.0,156.8,150.7,145.4,18.90,81.10,32.51,32.96,16.68
1141,WeTransferBV,2009,500,NetherlandsAmsterdam,75.0,ComputersElectronicsandTechnology,123.2,52.44,2.56,226.0,122.4,109.1,123.2,44.15,55.85,20.80,34.68,20.91
1146,BoxInc,2005,5000,UnitedStatesCaliforniaRedwoodCity,1.0,ComputersElectronicsandTechnology,44.0,25.64,7.61,451.0,48.7,41.2,44.0,41.67,58.33,20.01,33.49,21.90
1163,Turbobit,2009,50,RussiaWallisandFutuna,15.0,ComputersElectronicsandTechnology,13.0,27.13,4.75,366.0,13.6,13.3,13.0,22.45,77.55,27.34,31.78,18.12
1167,JotFormInc,2006,500,UnitedStatesCaliforniaSanFrancisco,25.0,ComputersElectronicsandTechnology,38.4,51.76,3.25,224.0,42.8,36.5,38.4,50.18,49.82,21.29,31.79,20.43
1169,EnvatoPtyLtd,2006,1000,AustraliaMelbourne,200.0,ComputersElectronicsandTechnology,22.5,29.20,8.72,473.0,22.8,21.1,22.5,37.38,62.62,25.61,39.00,19.04
1172,Dribbble,2009,500,UnitedStatesCaliforniaWalnutCreek,25.0,ComputersElectronicsandTechnology,17.7,42.60,4.97,301.0,18.7,17.1,17.7,37.47,62.53,26.09,38.76,18.02
1175,BeaconsAiInc,2019,50,UnitedStatesCaliforniaSanFrancisco,1.0,ComputersElectronicsandTechnology,16.4,48.45,2.32,53.0,16.0,16.6,16.4,31.95,68.05,33.16,32.62,15.75
1176,LoomInc,2011,500,UnitedStatesCaliforniaSanFrancisco,50.0,ComputersElectronicsandTechnology,16.2,46.21,3.87,306.0,16.6,14.9,16.2,41.34,58.66,20.86,37.80,21.01
1178,36Kr,2011,1000,ChinaBeijing,75.0,ComputersElectronicsandTechnology,14.6,52.77,3.62,96.0,8.6,8.4,14.6,33.99,66.01,23.77,46.08,19.01
1179,BetterMe,2016,200,UkraineKyiv,75.0,ComputersElectronicsandTechnology,13.4,55.41,2.4,100.0,11.3,10.3,13.4,55.24,44.76,20.80,27.93,18.00
1184,VEEDLimited,2018,200,UnitedKingdomLondon,10.0,ComputersElectronicsandTechnology,11.5,31.99,8.24,319.0,10.8,10.5,11.5,36.06,63.94,33.95,33.60,15.94
1185,Webyflow,2020,50,SpainHighlandPark,5.0,ComputersElectronicsandTechnology,10.9,57.71,3.65,267.0,11.0,10.2,10.9,39.92,60.08,24.53,37.63,18.87
1188,WritesonicInc,2021,50,UnitedStatesDelawareWilmington,2.0,ComputersElectronicsandTechnology,10.5,37.96,4.51,290.0,11.4,10.3,10.5,37.61,62.39,28.91,35.77,17.72
1189,WebflowInc,2012,500,UnitedStatesCaliforniaSanFrancisco,200.0,ComputersElectronicsandTechnology,10.4,42.93,6.08,459.0,10.9,9.9,10.4,38.71,61.29,23.03,37.66,20.06
1190,Thinkific,2012,500,CanadaVancouver,50.0,ComputersElectronicsandTechnology,10.1,45.17,4.63,340.0,10.5,9.9,10.1,50.10,49.90,21.77,32.78,20.17
1193,Elektra,1950,5000,MexicoMexicoCity,500.0,ComputersElectronicsandTechnology,9.3,38.13,5.24,274.0,4.8,5.6,9.3,39.00,61.00,21.10,36.03,21.07
1194,ClipchampPtyLtd,2014,200,AustraliaBrisbane,25.0,ComputersElectronicsandTechnology,9.3,39.50,4.04,395.0,8.8,8.8,9.3,37.73,62.27,32.28,32.63,17.04
1199,UCOZ,2006,200,UnitedStatesMississippiBruce,15.0,ComputersElectronicsandTechnology,8.3,60.00,2.39,126.0,9.6,8.7,8.3,55.51,44.49,21.42,34.70,18.00
1200,MyFontsInc,1999,50,UnitedStatesMassachusettsWoburn,5.0,ComputersElectronicsandTechnology,8.1,44.22,3.56,242.0,8.4,7.3,8.1,42.60,57.40,26.99,36.56,18.56
1202,Runway,2018,50,UnitedStatesNewYorkNewYork,5.0,ComputersElectronicsandTechnology,6.9,50.48,4.85,199.0,7.8,8.4,6.9,33.03,66.97,27.22,37.04,18.38
1206,StackOverflow,2008,1000,UnitedStatesNewYorkNewYorkCity,75.0,ComputersElectronicsandTechnology,213.6,56.87,2.23,381.0,258.0,212.2,213.6,21.56,78.44,24.24,38.14,19.88
1207,iLovePDF,2010,50,SpainBarcelona,5.0,ComputersElectronicsandTechnology,146.0,20.15,4.1,380.0,141.4,124.2,146.0,49.82,50.18,26.99,35.35,18.22
1208,OperaLimited,1995,1000,NorwayOslo,500.0,ComputersElectronicsandTechnology,142.0,59.63,1.86,111.0,129.8,152.1,142.0,27.13,72.87,34.29,29.97,15.87
1209,BoonPlus,2017,50,UnitedStatesDelawareNewark,5.0,ComputersElectronicsandTechnology,137.0,20.08,14.87,1059.0,148.0,126.3,137.0,39.99,60.01,17.38,33.18,22.77
1211,CSDN,1999,500,ChinaBeijing,200.0,ComputersElectronicsandTechnology,117.9,45.06,2.81,463.0,248.7,164.3,117.9,22.22,77.78,24.26,43.69,21.30
1212,iCloud,2011,500,UnitedStatesCaliforniaCupertino,100.0,ComputersElectronicsandTechnology,96.8,40.36,3.38,248.0,97.4,90.0,96.8,42.90,57.10,22.18,31.48,19.95
1213,TrelloInc,2010,200,UnitedStatesNewYorkNewYork,25.0,ComputersElectronicsandTechnology,89.4,28.74,7.45,654.0,95.5,86.9,89.4,33.18,66.82,24.32,37.14,19.97
1214,SalesforceInc,1999,10001,UnitedStatesCaliforniaSanFrancisco,1.0,ComputersElectronicsandTechnology,87.8,33.44,6.18,445.0,94.9,80.2,87.8,38.09,61.91,18.37,34.96,22.52
1215,MozillaCorporation,2005,5000,UnitedStatesCaliforniaSanFrancisco,1.0,ComputersElectronicsandTechnology,78.8,66.41,2.1,129.0,85.9,75.9,78.8,28.97,71.03,22.09,32.33,18.88
1218,APKPure,2014,50,UnitedStatesCaliforniaNewark,10.0,ComputersElectronicsandTechnology,67.1,31.09,4.43,157.0,71.8,71.5,67.1,25.68,74.32,30.65,33.33,16.99
1219,W3Schools,1998,5000,NorwayHommersak,15.0,ComputersElectronicsandTechnology,59.5,49.77,3.75,377.0,71.2,59.1,59.5,25.64,74.36,28.52,36.23,18.22
1221,Azure,2012,50,UnitedStatesWashingtonRedmond,1.0,ComputersElectronicsandTechnology,51.0,23.99,12.39,779.0,55.5,46.3,51.0,24.88,75.12,19.39,35.42,23.47
1223,AppsFlyerLtd,2011,5000,UnitedStatesCaliforniaSanFrancisco,500.0,ComputersElectronicsandTechnology,48.6,48.93,1.57,48.0,49.9,48.2,48.6,34.84,65.16,22.26,40.31,19.35
1225,WorkdayInc,2005,10001,UnitedStatesCaliforniaPleasanton,1.0,ComputersElectronicsandTechnology,47.1,12.31,9.62,481.0,51.4,44.7,47.1,41.11,58.89,20.45,31.61,21.45
1226,GeeksforGeeks,2009,5000,IndiaNoida,15.0,ComputersElectronicsandTechnology,45.7,62.70,2.14,230.0,55.8,46.3,45.7,26.83,73.17,30.79,35.82,17.37
1227,Auth0Inc,2013,1000,UnitedStatesWashingtonBellevue,200.0,ComputersElectronicsandTechnology,43.2,61.04,2.02,93.0,35.1,37.5,43.2,37.89,62.11,23.52,32.17,19.69
1228,ClassLinkInc,1998,200,UnitedStatesNewJerseyClifton,15.0,ComputersElectronicsandTechnology,42.9,23.87,4.11,191.0,45.3,38.6,42.9,61.29,38.71,39.54,21.86,15.41
1229,Softonic,1997,500,SpainBarcelona,25.0,ComputersElectronicsandTechnology,40.9,39.26,3.19,163.0,40.4,40.8,40.9,30.17,69.83,31.96,30.71,16.81
1230,AdBlock,2009,50,UnitedStatesCaliforniaSanFrancisco,15.0,ComputersElectronicsandTechnology,40.2,83.97,1.11,23.0,34.3,113.9,40.2,39.49,60.51,27.91,31.34,18.19
1231,LINER,2014,50,KoreaRepublicofSeoul,5.0,ComputersElectronicsandTechnology,39.3,60.62,2.99,48.0,49.2,43.2,39.3,47.20,52.80,35.30,30.79,16.15
1232,FeedlyInc,2007,50,UnitedStatesCaliforniaPaloAlto,5.0,ComputersElectronicsandTechnology,37.8,25.38,7.68,523.0,40.4,36.8,37.8,28.46,71.54,17.62,34.03,22.78
1233,iCIMSInc,2000,5000,UnitedStatesNewJerseyHolmdel,500.0,ComputersElectronicsandTechnology,32.3,23.28,6.52,316.0,34.9,30.2,32.3,50.31,49.69,25.66,29.27,18.96
1236,OneDrive,2008,200,UnitedStatesWashingtonRedmond,500.0,ComputersElectronicsandTechnology,30.5,42.59,7.39,147.0,24.1,26.5,30.5,42.26,57.74,19.26,29.03,19.50
1238,WebEx,1995,10001,UnitedStatesCaliforniaSanJose,1.0,ComputersElectronicsandTechnology,29.9,29.29,4.05,226.0,34.1,26.9,29.9,41.57,58.43,19.62,33.29,22.07
1240,PlexInc,2009,200,UnitedStatesCaliforniaLosGatos,25.0,ComputersElectronicsandTechnology,29.4,36.71,5.33,287.0,28.1,28.5,29.4,26.89,73.11,25.58,30.24,18.09
1242,Ecosia,2009,200,GermanyBerlin,50.0,ComputersElectronicsandTechnology,160.9,20.59,5.39,406.0,166.0,154.9,160.9,51.54,48.46,26.18,28.52,17.30
1243,SogouInc,2005,5000,ChinaBeijing,1.0,ComputersElectronicsandTechnology,135.9,40.69,5.07,210.0,135.1,145.5,135.9,33.93,66.07,29.02,40.63,18.41
1245,JustdialLimited,1993,10001,IndiaMumbai,200.0,ComputersElectronicsandTechnology,83.3,56.40,3.02,138.0,72.8,71.7,83.3,35.41,64.59,30.46,35.88,15.34
1247,StartpageBV,1998,50,NetherlandsZeist,5.0,ComputersElectronicsandTechnology,64.2,34.71,3.88,504.0,66.4,62.2,64.2,30.79,69.21,15.24,21.60,17.81
1250,TumblrInc,2007,500,UnitedStatesCaliforniaSanFrancisco,75.0,ComputersElectronicsandTechnology,224.5,42.28,6.96,517.0,232.4,222.7,224.5,40.70,59.30,35.14,29.85,15.37
